# Acid Tests baseline - captured GB frames, 160x144 PNG.
# emulator: gameroy
# generated: Wed, 22 Jul 2026 22:44:38 +0000
# source: https://tomek.rekawek.eu/GBEmulatorShootout/
# name|status|frames|image
acid/which.gb (DMG)|INFO|0|acid/which.gb (DMG).png
mooneye/emulator-only/mbc1/rom_1Mb.gb|PASS|0|mooneye/emulator-only/mbc1/rom_1Mb.png
mooneye/emulator-only/mbc1/rom_2Mb.gb|PASS|0|mooneye/emulator-only/mbc1/rom_2Mb.png
mooneye/emulator-only/mbc1/rom_4Mb.gb|PASS|0|mooneye/emulator-only/mbc1/rom_4Mb.png
mooneye/emulator-only/mbc1/rom_512kb.gb|PASS|0|mooneye/emulator-only/mbc1/rom_512kb.png
mooneye/emulator-only/mbc1/rom_8Mb.gb|PASS|0|mooneye/emulator-only/mbc1/rom_8Mb.png
mooneye/emulator-only/mbc2/bits_ramg.gb|PASS|0|mooneye/emulator-only/mbc2/bits_ramg.png
mooneye/emulator-only/mbc2/bits_romb.gb|PASS|0|mooneye/emulator-only/mbc2/bits_romb.png
mooneye/emulator-only/mbc2/bits_unused.gb|PASS|0|mooneye/emulator-only/mbc2/bits_unused.png
mooneye/emulator-only/mbc2/ram.gb|PASS|0|mooneye/emulator-only/mbc2/ram.png
mooneye/emulator-only/mbc2/rom_1Mb.gb|PASS|0|mooneye/emulator-only/mbc2/rom_1Mb.png
mooneye/emulator-only/mbc2/rom_2Mb.gb|PASS|0|mooneye/emulator-only/mbc2/rom_2Mb.png
mooneye/emulator-only/mbc2/rom_512kb.gb|PASS|0|mooneye/emulator-only/mbc2/rom_512kb.png
mooneye/emulator-only/mbc5/rom_16Mb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_16Mb.png
mooneye/emulator-only/mbc5/rom_1Mb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_1Mb.png
mooneye/emulator-only/mbc5/rom_2Mb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_2Mb.png
mooneye/emulator-only/mbc5/rom_32Mb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_32Mb.png
mooneye/emulator-only/mbc5/rom_4Mb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_4Mb.png
mooneye/emulator-only/mbc5/rom_512kb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_512kb.png
mooneye/emulator-only/mbc5/rom_64Mb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_64Mb.png
mooneye/emulator-only/mbc5/rom_8Mb.gb|PASS|0|mooneye/emulator-only/mbc5/rom_8Mb.png
mooneye/manual-only/sprite_priority.gb|PASS|0|mooneye/manual-only/sprite_priority.png
ashiepaws/bully.gb (DMG)|FAIL|0|ashiepaws/bully.gb (DMG).png
ashiepaws/strikethrough.gb|FAIL|0|ashiepaws/strikethrough.png
cpp/rtc-invalid-banks-test.gb|FAIL|0|cpp/rtc-invalid-banks-test.png
cpp/latch-rtc-test.gb|FAIL|0|cpp/latch-rtc-test.png
cpp/ramg-mbc3-test.gb|PASS|0|cpp/ramg-mbc3-test.png
mealybug-tearoom-tests/ppu/m2_win_en_toggle.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m2_win_en_toggle.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_bgp_change.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_bgp_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_bgp_change_sprites.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_bgp_change_sprites.gb (DMG).png
